"","Title","CRDC_Id","Document_Date","Agency","Agency_Publication_Number","Length","Permalink","Congress_Session","Author","Subjects","Descriptors","Organization_Terms","Legislative_Terms","CIS_Number","Committee","Person_Term","Public_Law","Statute_At_Large","Sudoc_Number"
"1","Flood Risk Reduction from Natural and Nature-Based Features: Army Corps of Engineers Authorities","CRS-2020-CRS-205678","April 27, 2020","Congressional Research Service","R46328","31 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2020-crs-205678?accountid=14537","116 -2","Carter,  Nicole T.; Lipiec,  Eva","Flood control;  Repair & maintenance",NA,"Army Corps of Engineers",NA,NA,NA,NA,NA,NA,NA
"2","Nature-Based Infrastructure: NOAA’s Role","CRS-2020-CRS-2068","January 02, 2020","Congressional Research Service","R46145","15 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2020-crs-2068?accountid=14537","116 -2","Lipiec,  Eva","Infrastructure;  Research;  US statutes;  Intergovernmental relations;  Government agencies;  Government spending",NA,"National Oceanic & Atmospheric Administration--NOAA",NA,NA,NA,NA,NA,NA,NA
"3","Water Resource Issues in the 116th Congress","CRS-2019-CRS-191113","February 07, 2019","Congressional Research Service","R45492","20 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2019-crs-191113?accountid=14537","116 -1","Carter,  Nicole T.; Stern,  Charles V.; Sheikh,  Pervaze A.","Water resources;  Water rights;  Native North Americans;  Infrastructure;  Flood control","Canada;  Mexico;  Projects;  Federal funding;  Financing;  Partnerships;  Environmental protection;  Renovation & restoration;  Groundwater","Army Corps of Engineers;  Bureau of Reclamation;  US Geological Survey",NA,NA,NA,NA,NA,NA,NA
"4","Sea-Level Rise and U.S. Coasts:  Science and Policy Considerations","CRS-2016-RSI-0359","September 12, 2016","Resources, Science, and Industry Division, CRS","R44632","41 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2016-rsi-0359?accountid=14537","114 -2","Folger,  Peter; Carter,  Nicole T.","Shorelines;  Oceanography;  Coastal zone management",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Caribbean Basin Interim Trade Program: CBI/NAFTA Parity","CRS-2001-FDT-0237","April 25, 2001","Foreign Affairs, Defense, and Trade Division (Congressional Research Service)","IB95050","18 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2001-fdt-0237?accountid=14537","107 -1","Pregelj,  Vladimir N.","Chronologies;  North American Free Trade Agreement;  Tariffs","Caribbean area;  Caribbean Basin Initiative;  Mexico",NA,"Caribbean Basin Economic Recovery Act",NA,NA,NA,NA,NA,NA
"6","Caribbean Basin Interim Trade Program: CBI/NAFTA Parity","CRS-2001-FDT-0238","June 26, 2001","Foreign Affairs, Defense, and Trade Division (Congressional Research Service)","IB95050","18 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2001-fdt-0238?accountid=14537","107 -1","Pregelj,  Vladimir N.","Chronologies;  North American Free Trade Agreement;  Tariffs","Caribbean area;  Caribbean Basin Initiative;  Mexico",NA,"Caribbean Basin Economic Recovery Act",NA,NA,NA,NA,NA,NA
"7","Caribbean Basin Interim Trade Program: CBI/NAFTA Parity","CRS-2004-FDT-0840","March 02, 2004","Foreign Affairs, Defense, and Trade Division (Congressional Research Service)","IB95050","19 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2004-fdt-0840?accountid=14537","108 -2","Pregelj,  Vladimir N.","Chronologies;  North American Free Trade Agreement;  Tariffs","Caribbean area;  Caribbean Basin Initiative;  Mexico",NA,"Caribbean Basin Economic Recovery Act",NA,NA,NA,NA,NA,NA
"8","FEMA Pre-Disaster Mitigation: The Building Resilient Communities and Infrastructure (BRIC) Program, CRS Insight","CRS-2020-CRS-2011777","October 16, 2020","Congressional Research Service","IN11515","3 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2020-crs-2011777?accountid=14537","116 -2","Horn,  Diane P.","Infrastructure;  Disaster relief;  Government grants;  Federal aid to states;  Federal aid to territories;  Native North Americans",NA,"Federal Emergency Management Agency",NA,NA,NA,NA,NA,NA,NA
"9","Water Resources Development Acts: Primer, CRS In Focus","CRS-2020-CRS-2010508","September 22, 2020","Congressional Research Service","IF11322","3 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2020-crs-2010508?accountid=14537","116 -2","Carter,  Nicole T.; Normand,  Anna E.","Civil engineering;  Water resources",NA,"Army Corps of Engineers","Water Resources Development Act",NA,NA,NA,NA,NA,NA
"10","Computer Simulation Methods to Aid National Growth Policy","CRS-1975-CRS-0031","January 01, 1975","Office of Technology Assessment; Congressional Research Service",NA,"490 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-1975-crs-0031?accountid=14537","94 -1","Little,  Dennis. L.; Kornbluh,  Marvin","National plans and goals;  Glossaries;  Social research;  Planning;  Energy conservation;  Bibliographic literature;  Economic models","Subcom on Fisheries and Wildlife Conservation and the Environment. House;  Congressional Research Service;  Project Independence",NA,NA,"75-H562-7",NA,NA,NA,NA,"Y4.M53:94-B"
