,Title:,Citation:,Section:,Document Date:,Congress-Session:,Reference Volume:,Permalink:,Speaker(s):
1,PROTECT AND RESTORE AMERICA'S ESTUARIES ACT,166 Cong Rec H 780,House,5-Feb-20,116- 2,Vol.  166   No.  24   Pg.  H780,https://congressional.proquest.com/congressional/docview/t17.d18.cr05fe2020_dat-74?accountid=14537,Filemon Vela; Brian Mast; Tom Malinowski; Suzanne Bonamici; Rick Larsen; Grace F. Napolitano
2,APPROVING THE PRESIDENT'S REQUEST FOR CONTRA AID,134 Cong Rec H 90,House,3-Feb-88,100- 2,Vol.  134   No.  7   Pg.  H90,https://congressional.proquest.com/congressional/docview/t17.d18.9e147acea9d1680b?accountid=14537,Edward Farrell Feighan; Thomas F. Lewis; Douglas Wayne Owens; James A. Traficant Jr.; Bill McCollum; George Cornelius Wortley; Jack Milton Fields Jr.; Daniel Ray Coats; Bob McEwen; David E. Price; William J. Tauzin; Edward J. Markey; James Charles Slattery; James Andrew Courter; John William Buechner; Earl Dewitt Hutto; Donald Edgar Lukens; Bruce F. Vento; Eligio II de la Garza; Harold Lee Volkmer; Sedgwick William Green; Richard Henry Lehman; William Donlon Edwards; Bill Nelson; Michael Allen Andrews; David Ross Obey; Walter Herger; Chalmers Pangburn Wylie; E. Clay Shaw Jr.; Robert Kenneth Dornan; Gerald Brooks Hunt Solomon; Byron L. Dorgan; Louis Stokes; Charles E. Schumer; Jim Bunning; Willis David Gradison Jr.; William Flynt Nichols; John Patrick Williams; Jack French Kemp; Ron Wyden; Dante Bruno Fascell; Gus Savage; William Eldridge Frenzel; Barbara Bailey Kennelly; Robert John Lagomarsino; Gerry Eastman Studds; James M. Jeffords; Claude Denson Pepper; Bruce Andrew Morrison; William J. Coyne; Dean Anderson Gallo; William Louis Dickinson; Tony P. Hall; Richard Belmont Ray; Robert Mooneyhan Tallon Jr.; Lane A. Evans; Charles W. Stenholm; Chester Greenough Atkins; Philip M. Crane; William O. Lipinski; Ronald D’Emory Coleman; Ron Packard; Daniel French Slaughter Jr.; Newton Leroy Gingrich; Louise McIntosh Slaughter; Thomas Michael Foglietta; Butler Carson Derrick Jr.; Robert William Kastenmeier; Michael Edward Lowry; Nancy Pelosi; Thomas Joseph Downey; Marvin Henry Edwards; Barney Frank; Beverly Barton Butcher Byron; Carl Duane Pursell; James Andrew Courter; Kweisi Mfume; Ralph M. Hall; Duncan L. Hunter; Matthew John Rinaldo; Barbara Boxer; James A. Leach; Peter A. DeFazio; Jim Bates; Mary Rose Oakar; John Ripin Miller; Edward Patrick Boland; Frank Annunzio; Charles Arthur Hayes; John Joseph Moakley; Robert Lawrence Coughlin; Nick J. Rahall II; Jon Kyl; Harry Stephen Bartlett; George W. Gekas; Theodore S. Weiss; Joseph Patrick Kennedy II; Gary L. Ackerman; Christopher H. Smith; Herbert H. Bateman; C. W. Bill Young; Joe Linus Barton; Romano Louis Mazzoli; Albert Garza Bustamante; James Haas Scheuer; Norman Yoshio Mineta; Daniel Kahikina Akaka; Ben Garrido Blaz; William S. Broomfield; Floyd Harold Flake; Harley Orrin Staggers Jr.; John Jacob Rhodes III; Nancy Lee Johnson; Gillespie V. Montgomery; Richard Andrew Gephardt; Michael DeWine; Douglas Harry Bosco; Matthew Francis McHugh; Ronald Vernie Dellums; Henry John Hyde; Mervyn Malcolm Dymally; Sherwood L. Boehlert; Matthew G. Martínez; James L. Oberstar; Toby A. Roth; Hamilton Fish Jr.; Norman David Shumway; W. Curtis Weldon; Robert Smith Walker; Jerry Lewis; Richard Bruce Cheney; John Edward Porter; Lynn Morley Martin; Ronald Charles Marlenee; Arlan Ingehart Stangeland; Walter Edward Fauntroy; Thomas Jerald Huckaby; Daniel Robert Glickman; Rodney Dennis Chandler; William Venroe Chappell Jr.; Steven Craig Gunderson; Peter Houston Kostmayer; Jim Cooper; Howard Curtis Nielson; Richard Howard Stallings; Andrew Jacobs Jr.; Leon Edward Panetta; Robert Jan Mrazek; Morris King Udall; Barbara Farrell Vucanovich; Bob McEwen; James Claude Wright Jr.; Frank R. Wolf; Lane A. Evans; Thomas Stephen Foley; John R. Kasich; Eldon Beau Boulter; Samuel Studdiford Stratton; Robert Torricelli; Robert Garcia; Jim Moody; Fortney H. Stark; Meldon Edises Levine; Robert Edward Badham; James Jarrell Pickle; David Keith McCurdy; Robert Henry Michel; Don Leroy Bonker; David T. Dreier; William Vollie Alexander Jr.; H. L. Callahan; Lamar S. Smith; Arthur Ravenel Jr.; George William Crockett Jr.; William John Hughes; David E. Bonior; Thomas Dale DeLay; Earl Thomas Coleman; John Conyers Jr.; Edward J. Markey; Peter Houston Kostmayer; Michael G. Oxley; Jan Meyers; Norvell William Emerson; William Edwin Dannemeyer; Ike Skelton; Charles Elson Roemer III; Sam Gejdenson; Esteban Edward Torres; James M. Inhofe; Connie Mack III; Alan B. Mollohan; Nicholas James Mavroules; Amory Houghton Jr.; Marvin Henry Edwards; Donald Lawrence Ritter; William Blaine Richardson; Sander M. Levin; Norman Frederick Lent; Thomas Richard Carper; Howard Eliot Wolpe III; John P. Murtha; Joseph Edward Brennan; Robert T. Matsui; Edward Ross Roybal; Clyde Cecil Holloway; Harris W. Fawell; David Evans Skaggs; Elton W. Gallegly; Victor Herbert Fazio Jr.; Constance Morella; Major R. Owens; George E. Brown Jr.; John Rowland; Michael Bilirakis; Dan L. Burton; Christopher H. Smith; Robert Linligthgow Livingston Jr.; Cardiss Collins; Edolphus Towns; George Miller; Julian C. Dixon
3,THE HAZARDOUS MATERIAL TRANSPORTATION INFORMATION ACT,134 Cong Rec E 655,Extension of Remarks,15-Mar-88,100- 2,Vol.  134   No.  31   Pg.  E655,https://congressional.proquest.com/congressional/docview/t17.d18.9e3b5a99879d220b?accountid=14537,Dean Anderson Gallo
4,INTRODUCTION OF BILLS AND JOINT RESOLUTIONS,164 Cong Rec S 2484,Senate,26-Apr-18,115- 2,Vol.  164   No.  68   Pg.  S2484,https://congressional.proquest.com/congressional/docview/t17.d18.cr26ap2018_dat-209?accountid=14537,INTRODUCTION OF BILLS AND JOINT RESOLUTIONS
5,WATER RESOURCES DEVELOPMENT ACT OF 2016,162 Cong Rec S 5736,Senate,15-Sep-16,114- 2,Vol.  162   No.  140   Pg.  S5736,https://congressional.proquest.com/congressional/docview/t17.d18.cr15se2016_dat-78?accountid=14537,Richard J. Durbin; James M. Inhofe; John Hoeven; Christopher S. Murphy; Michael B. Enzi; Barbara Boxer; Richard Blumenthal; Mitch McConnell; Roy Blunt; John F. Reed; John Cornyn
6,TEXT OF AMENDMENTS,162 Cong Rec S 5506,Senate,12-Sep-16,114- 2,Vol.  162   No.  137   Pg.  S5506,https://congressional.proquest.com/congressional/docview/t17.d18.cr12se2016_dat-154?accountid=14537,TEXT OF AMENDMENTS
7,THE CUBAN REVOLUTION 25 YEARS LATER,131 Cong Rec E 1395,Extension of Remarks,4-Apr-85,99- 1,Vol.  131   No.  42   Pg.  E1395,https://congressional.proquest.com/congressional/docview/t17.d18.9eac9155b8dfee03?accountid=14537,Gus Yatron
8,"COMMERCE, JUSTICE, SCIENCE, AGRICULTURE, RURAL DEVELOPMENT, FOOD AND DRUG ADMINISTRATION, INTERIOR, ENVIRONMENT, MILITARY CONSTRUCTION, VETERANS AFFAIRS, TRANSPORTATION, AND HOUSING AND URBAN DEVELOPMENT APPROPRIATIONS ACT, 2020",165 Cong Rec H 8972,House,19-Nov-19,116- 1,Vol.  165   No.  185   Pg.  H8972,https://congressional.proquest.com/congressional/docview/t17.d18.cr19no2019_dat-88?accountid=14537,Kay Granger; Nita M. Lowey; Steny H. Hoyer; Christopher H. Smith; Steve Womack; Marcy Kaptur; Debbie Wasserman Schultz
9,TRIBAL COASTAL RESILIENCY ACT,165 Cong Rec H 9969,House,10-Dec-19,116- 1,Vol.  165   No.  197   Pg.  H9969,https://congressional.proquest.com/congressional/docview/t17.d18.cr10de2019_dat-69?accountid=14537,Charlie Crist; John Katko; Jimmy Panetta; Jared Huffman; Daniel William Lipinski; Suzanne Bonamici; Rob Bishop; Raúl M. Grijalva; Debbie Mucarsel-Powell; Fred Stephen Upton; Joe Cunningham; Chellie Pingree; Harley Rouda; Yvette D. Clarke; Derek Kilmer; Garret Graves; Gwen Moore; Anthony Brown; C. A. Dutch Ruppersberger; Bobby L. Rush; Paul A. Gosar; Kathy Castor; Gary Palmer; Rob Bishop; James A. Himes; Bill Huizenga; Mike Quigley; Elaine G. Luria; Mike Johnson; Kevin R. Hern; Betty Louise McCollum; Andy Harris; Ted Budd; Debbie Dingell; Tom McClintock; Eleanor Holmes Norton; Marcy Kaptur; Ed Case
10,THE STATUS OF THE REPUBLIC OF CHINA AS A MEMBER OF THE INTERNATIONAL CRIMINAL POLICE ORGANIZATION,131 Cong Rec S 2897,Senate,14-Mar-85,99- 1,Vol.  131   No.  29   Pg.  S2897,https://congressional.proquest.com/congressional/docview/t17.d18.9eac8fb4d353ac03?accountid=14537,Jeremiah Andrew Denton Jr.
